swimmer_id,meet_id,meet_name,meet_date,age,sex_category,event,course,round,seed_time,final_time,split_50,split_100,split_150,split_200,data_source,meet_level,notes
S019,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:43.85,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 19"
S020,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:43.92,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 20"
S021,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:44.80,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 22"
S022,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:44.87,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 23"
S023,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:45.16,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 24"
S024,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:45.34,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 25"
S025,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:45.40,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 26"
S026,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:45.70,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 27"
S027,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:45.79,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 28"
S028,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:45.84,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 29"
S029,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.07,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 30"
S030,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.21,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 31"
S031,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.22,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 32"
S032,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.41,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 33"
S033,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.56,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 34"
S034,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.57,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 35"
S035,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.64,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 36"
S036,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:46.71,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 37"
S037,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:47.13,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 38"
S038,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:47.17,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 39"
S039,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:47.38,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 40"
S040,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:47.45,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 41"
S041,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:47.94,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 42"
S042,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:48.10,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 43"
S043,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:48.17,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 44"
S044,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:48.35,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 45"
S045,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:48.39,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 46"
S046,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:48.46,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 47"
S047,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:48.66,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 48"
S048,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:48.94,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 49"
S049,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:49.26,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 50"
S050,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:49.39,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 51"
S051,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:49.55,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 52"
S052,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:49.94,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 53"
S053,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:49.99,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 54"
S054,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:50.08,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 55"
S055,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:50.23,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 56"
S056,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:50.46,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 57"
S057,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:50.89,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 58"
S058,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:50.94,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 59"
S059,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:50.99,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 60"
S060,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.10,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 61; same name in 2 meets with different team listings; treated as one person, verify when splits arrive"
S061,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.14,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 62"
S062,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.35,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 63"
S063,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.38,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 64"
S064,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.55,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 65"
S065,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.72,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 66"
S066,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.77,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 67"
S067,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:51.79,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 68"
S068,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:52.04,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 69"
S069,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:52.07,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 70"
S070,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:52.13,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 71"
S071,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:52.17,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 72"
S072,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:52.43,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 73"
